Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Project,Sample_Well,Basename,Sentrix_ID,Sentrix_Position
GSM7434219,NA,N,NA,GSE233758,NA,GSM7434219_201233770042_R07C01,201233770042,R07C01
GSM7434220,NA,N,NA,GSE233758,NA,GSM7434220_201233770150_R07C01,201233770150,R07C01
GSM7434221,NA,N,NA,GSE233758,NA,GSM7434221_201233770150_R08C01,201233770150,R08C01
GSM7434222,NA,N,NA,GSE233758,NA,GSM7434222_201236470134_R02C01,201236470134,R02C01
GSM7434223,NA,N,NA,GSE233758,NA,GSM7434223_201236470038_R01C01,201236470038,R01C01
GSM7434224,NA,N,NA,GSE233758,NA,GSM7434224_201233770042_R08C01,201233770042,R08C01
GSM7434225,NA,N,NA,GSE233758,NA,GSM7434225_201233770082_R02C01,201233770082,R02C01
GSM7434226,NA,N,NA,GSE233758,NA,GSM7434226_201236470134_R03C01,201236470134,R03C01
GSM7434227,NA,N,NA,GSE233758,NA,GSM7434227_201236470134_R04C01,201236470134,R04C01
GSM7434228,NA,N,NA,GSE233758,NA,GSM7434228_202274990106_R01C01,202274990106,R01C01
GSM8114527,NA,N,NA,GSE233758,NA,GSM8114527_202285550090_R01C01,202285550090,R01C01
GSM8114528,NA,N,NA,GSE233758,NA,GSM8114528_202285550090_R02C01,202285550090,R02C01
GSM8114529,NA,N,NA,GSE233758,NA,GSM8114529_202285550090_R03C01,202285550090,R03C01
GSM8114530,NA,N,NA,GSE233758,NA,GSM8114530_202285550090_R04C01,202285550090,R04C01
GSM8114531,NA,N,NA,GSE233758,NA,GSM8114531_202285550090_R05C01,202285550090,R05C01
GSM8114532,NA,N,NA,GSE233758,NA,GSM8114532_202285550090_R06C01,202285550090,R06C01
GSM8114533,NA,N,NA,GSE233758,NA,GSM8114533_202285550090_R07C01,202285550090,R07C01
GSM8114534,NA,N,NA,GSE233758,NA,GSM8114534_202285550090_R08C01,202285550090,R08C01
GSM7434229,NA,C,NA,GSE233758,NA,GSM7434229_201236470038_R02C01,201236470038,R02C01
GSM7434230,NA,C,NA,GSE233758,NA,GSM7434230_201236470038_R03C01,201236470038,R03C01
GSM7434231,NA,C,NA,GSE233758,NA,GSM7434231_201236470038_R04C01,201236470038,R04C01
GSM7434232,NA,C,NA,GSE233758,NA,GSM7434232_201236470134_R05C01,201236470134,R05C01
GSM7434233,NA,C,NA,GSE233758,NA,GSM7434233_201233770082_R01C01,201233770082,R01C01
GSM7434234,NA,C,NA,GSE233758,NA,GSM7434234_201236470038_R05C01,201236470038,R05C01
GSM7434237,NA,C,NA,GSE233758,NA,GSM7434237_201236470038_R08C01,201236470038,R08C01
GSM7434238,NA,C,NA,GSE233758,NA,GSM7434238_202274990106_R03C01,202274990106,R03C01
GSM7434239,NA,C,NA,GSE233758,NA,GSM7434239_201236470134_R06C01,201236470134,R06C01
GSM7434240,NA,C,NA,GSE233758,NA,GSM7434240_201236470134_R07C01,201236470134,R07C01
GSM7434241,NA,C,NA,GSE233758,NA,GSM7434241_202274990106_R04C01,202274990106,R04C01
GSM8114535,NA,C,NA,GSE233758,NA,GSM8114535_202285550208_R02C01,202285550208,R02C01
GSM8114536,NA,C,NA,GSE233758,NA,GSM8114536_202285550208_R03C01,202285550208,R03C01
GSM8114537,NA,C,NA,GSE233758,NA,GSM8114537_202285550208_R04C01,202285550208,R04C01
GSM8114538,NA,C,NA,GSE233758,NA,GSM8114538_202285550208_R05C01,202285550208,R05C01
