,GSM4332034,GSM4332035,GSM4332036,GSM4332037,GSM4332042,GSM4332043,GSM4332046,GSM4332047,GSM4332054,GSM4332055,GSM4332056,GSM4332057,GSM4332038,GSM4332039,GSM4332040,GSM4332041,GSM4332044,GSM4332045,GSM4332048,GSM4332049,GSM4332050,GSM4332051,GSM4332052,GSM4332053
cg17032138,0.683014367296503,0.684035189827453,0.697580691086075,0.673800562677237,0.664833040186311,0.6513598338246,0.661783506755091,0.67470763456227,0.87850989509964,0.885528852518736,0.899028831914604,0.930659211660282,0.597076600255933,0.581604799283979,0.601127893990083,0.582984528045857,0.565414879288505,0.552066900620873,0.575667966024181,0.616847287593198,0.475740961094642,0.594953719373785,0.529959533691525,0.568803880882289
cg07609206,0.227495705967823,0.2345920233572,0.226740594865624,0.225691331489742,0.20273566397843,0.209500464525769,0.211702874500705,0.214660259236381,0.433656739155217,0.472012272339327,0.423132151362054,0.4333523598434,0.0940360519336149,0.081280146343683,0.0748569597881232,0.0801929760647586,0.106780808431531,0.113491483763177,0.0995073723121634,0.0874465153942819,0.100147812229929,0.0929690374683642,0.0822188839500993,0.0734232397942757
cg14856563,0.329446998768675,0.350741708928933,0.436000745852963,0.403441950061874,0.406426655913978,0.47504913747665,0.489130351571507,0.449971725419166,0.684320867417065,0.663969373344658,0.694150647230022,0.752202588404112,0.868297337635067,0.885957399048107,0.864658177703907,0.911056548501597,0.793594744395456,0.799202062010305,0.834852170328535,0.857433409048137,0.847784616473599,0.885103468346977,0.86204140865475,0.868207623088472
cg12184937,0.400728524318086,0.400682335567289,0.432620361499254,0.404312483609084,0.358459226530118,0.369978934293559,0.405244824575786,0.392825738132869,0.731971929134836,0.710921708274358,0.76515956014146,0.761177196771135,0.286643729637473,0.265977705826868,0.2630399183647,0.290036298142357,0.231533356740641,0.263697003302694,0.260757423323646,0.226308841164431,0.231334318365083,0.267381417250874,0.287064108972862,0.248320043483451
cg25104066,0.323823478762294,0.306934426775653,0.332009048826753,0.293977478730835,0.278802551479148,0.30601637292817,0.346174676345534,0.309790762635191,0.667639094049779,0.588481548149991,0.650239655631547,0.670774793895775,0.216189185626963,0.219547868797445,0.22494282789725,0.227477473151681,0.215170250657015,0.250792651888701,0.245141463608721,0.195788807008311,0.142867758288487,0.146003187417003,0.178573845467948,0.177170228165919
cg27485152,0.303607922280808,0.32371993921362,0.325768924572312,0.337481200504643,0.287120064672712,0.262253225529357,0.299965300868536,0.30827802549399,0.602302594617742,0.64416325257294,0.632728784665248,0.672754317576238,0.118346669404667,0.144951180809244,0.0908454633794306,0.0878438245316221,0.138443233682679,0.125214643912616,0.13492461825127,0.098976808305322,0.16452853057136,0.152254156190548,0.142117193845569,0.121241153416665
cg06878787,0.560305834948245,0.56885800355521,0.587007804283839,0.597330426918376,0.504029740315328,0.517547338065911,0.525399647282534,0.527654600401157,0.808638996566609,0.801314931377706,0.794295518174032,0.847549683825114,0.509629636806135,0.542499870550869,0.5722791536813,0.544690229156532,0.480118043595512,0.49417669277158,0.512902425238842,0.581942974760259,0.44780273897216,0.460426669052485,0.46886761757469,0.415709065972852
cg05843596,0.203793703707451,0.235992180227398,0.257548269314551,0.233677158999559,0.275485087746158,0.280495270459319,0.305088962931585,0.295208494788403,0.177822177028568,0.160596868097706,0.162012444885573,0.153117074864034,0.295568894932917,0.325986637226119,0.34814106227687,0.325467044465508,0.35352990526366,0.375067564119521,0.425287673653747,0.402993268235808,0.222826625921805,0.232851315408731,0.29308501014042,0.3244797206645
cg06930016,0.273487804395075,0.250562058172376,0.257145596110264,0.255460992113294,0.264958801264987,0.273843252575088,0.285761914547079,0.279669223277911,0.476050777261546,0.467049647917336,0.468129716441703,0.518811504876986,0.284959872155465,0.300403445340301,0.327106657455809,0.274459723006491,0.303472076316467,0.299195750747325,0.304903949273154,0.303115249981882,0.273905153591591,0.303624825935887,0.279614632992827,0.315387743974332
cg02988288,0.443891819964578,0.485071975485347,0.495947576820488,0.502649617646876,0.470005674251249,0.529458988921335,0.464631373532107,0.519173629812688,0.65161818580589,0.679897837088437,0.609631689954608,0.753695054939271,0.741213693621732,0.752049489588532,0.76884824376244,0.797418802347493,0.713398758664889,0.695072008721874,0.748340348019406,0.774483386254484,0.469358150873382,0.376024793356572,0.458842328130222,0.476724489045259
